id,yas,gelir,kredi_tutari,kredi_suresi_ay,mevcut_borc,borc_gelir_orani,calisma_durumu,egitim,medeni_durum,ev_sahibi,kredi_gecmisi,kredi_onay
281,65,7367,21852,60,11764,1.6,Emekli,Lisans,Bekar,Hayır,Gecikmeli,Ret
282,23,7832,17714,72,14982,1.91,Öğrenci,Lisans,Dul,Evet,Yeni,Ret
283,37,3045,16598,24,3847,1.26,Öğrenci,Yüksek,Evli,Evet,Gecikmeli,Ret
284,26,18727,64905,36,6397,0.34,İşsiz,Yüksek,Evli,Hayır,Temiz,Onay
285,34,13178,32900,60,647,0.05,İşsiz,Lisans,Bekar,Evet,Yeni,Onay
286,37,5756,9164,36,809,0.14,Çalışıyor,Lise,Evli,Hayır,Yeni,Onay
287,26,6185,18322,48,11719,1.89,Öğrenci,Lisans,Bekar,Evet,Gecikmeli,Onay
288,65,12378,44858,48,6492,0.52,Çalışıyor,Doktora,Dul,Evet,Gecikmeli,Ret
289,45,14015,35634,36,18289,1.3,Öğrenci,Doktora,Evli,Evet,Temiz,Onay
290,59,16690,8956,72,16292,0.98,İşsiz,Lise,Evli,Hayır,Temiz,Onay
291,34,17746,35960,60,3524,0.2,Emekli,Lise,Dul,Evet,Temiz,Onay
292,31,2984,25224,36,5045,1.69,Öğrenci,Lisans,Dul,Evet,Gecikmeli,Ret
293,56,4141,51081,72,2908,0.7,İşsiz,Yüksek,Bekar,Hayır,Gecikmeli,Ret
294,24,16978,58085,60,30237,1.78,Öğrenci,Lise,Bekar,Hayır,Gecikmeli,Ret
295,18,6137,60360,72,11596,1.89,Emekli,Yüksek,Dul,Evet,Yeni,Ret
296,64,3493,41717,60,4235,1.21,Emekli,Lise,Dul,Hayır,Gecikmeli,Onay
297,46,5489,55730,60,9027,1.64,İşsiz,Lise,Evli,Hayır,Gecikmeli,Onay
298,51,6753,32904,12,4312,0.64,Çalışıyor,Doktora,Dul,Evet,Temiz,Onay
299,53,9619,19386,36,8890,0.92,Öğrenci,Lisans,Evli,Hayır,Gecikmeli,Ret
300,55,6700,52759,72,3442,0.51,Emekli,Doktora,Evli,Evet,Gecikmeli,Onay
301,44,4300,50857,60,7740,1.8,Çalışıyor,Lise,Evli,Evet,Temiz,Onay
302,25,5751,59916,12,5814,1.01,İşsiz,Doktora,Evli,Evet,Yeni,Ret
303,52,5660,20825,48,3885,0.69,Emekli,Lise,Evli,Evet,Gecikmeli,Ret
304,23,2768,45862,18,726,0.26,İşsiz,Doktora,Bekar,Evet,Gecikmeli,Ret
305,61,18843,45369,18,33618,1.78,İşsiz,Doktora,Evli,Evet,Gecikmeli,Ret
306,26,16676,45443,36,2018,0.12,İşsiz,Lise,Dul,Hayır,Gecikmeli,Ret
307,35,9778,7096,48,6091,0.62,İşsiz,Yüksek,Dul,Evet,Yeni,Onay
308,65,7532,57361,24,3823,0.51,Çalışıyor,Lise,Bekar,Evet,Gecikmeli,Ret
309,34,17701,12442,72,25669,1.45,Çalışıyor,Doktora,Evli,Hayır,Yeni,Ret
310,56,7355,10187,48,7291,0.99,İşsiz,Yüksek,Dul,Evet,Gecikmeli,Ret
311,33,10344,18970,36,11082,1.07,Emekli,Lisans,Dul,Hayır,Temiz,Onay
312,22,5147,17427,72,3429,0.67,İşsiz,Yüksek,Evli,Evet,Yeni,Onay
313,62,18333,67219,18,9334,0.51,Emekli,Doktora,Bekar,Evet,Gecikmeli,Ret
314,45,7866,69687,18,8973,1.14,Çalışıyor,Lisans,Evli,Hayır,Yeni,Ret
315,41,10445,18093,12,8921,0.85,Öğrenci,Yüksek,Evli,Evet,Temiz,Onay
316,42,8528,40045,36,3316,0.39,İşsiz,Lisans,Bekar,Evet,Gecikmeli,Ret
317,42,17188,62858,72,11245,0.65,Emekli,Lisans,Evli,Hayır,Yeni,Ret
318,25,13417,25931,24,12441,0.93,Çalışıyor,Lise,Evli,Evet,Gecikmeli,Ret
319,62,10774,44626,48,8151,0.76,Çalışıyor,Lise,Evli,Hayır,Gecikmeli,Onay
320,45,11006,37436,60,17359,1.58,Çalışıyor,Doktora,Evli,Hayır,Gecikmeli,Ret
321,34,14404,67680,12,8082,0.56,Emekli,Lisans,Dul,Hayır,Gecikmeli,Ret
322,33,8085,61287,24,2630,0.33,Öğrenci,Doktora,Dul,Evet,Gecikmeli,Onay
323,42,5216,43262,72,4157,0.8,Öğrenci,Lisans,Dul,Evet,Gecikmeli,Ret
324,54,2579,24241,24,4630,1.8,Çalışıyor,Doktora,Dul,Hayır,Yeni,Ret
325,61,7013,11174,72,705,0.1,Çalışıyor,Lisans,Bekar,Evet,Yeni,Onay
326,61,19263,58241,60,31624,1.64,İşsiz,Lise,Bekar,Hayır,Gecikmeli,Ret
327,49,18923,20933,60,24395,1.29,Çalışıyor,Yüksek,Bekar,Evet,Yeni,Ret
328,30,7593,30674,12,8376,1.1,Çalışıyor,Doktora,Bekar,Evet,Gecikmeli,Ret
329,62,15123,22737,36,20444,1.35,Öğrenci,Lise,Dul,Evet,Temiz,Onay
330,26,6396,26584,12,10624,1.66,İşsiz,Lisans,Dul,Evet,Temiz,Ret
331,47,6838,65071,12,9303,1.36,Emekli,Doktora,Evli,Evet,Yeni,Ret
332,49,2571,29160,48,4729,1.84,Öğrenci,Doktora,Dul,Hayır,Gecikmeli,Ret
333,62,14265,15699,60,15117,1.06,Öğrenci,Doktora,Dul,Hayır,Yeni,Ret
334,51,4521,46871,36,8525,1.89,Öğrenci,Doktora,Bekar,Hayır,Gecikmeli,Ret
335,48,15320,13877,60,26893,1.76,Öğrenci,Doktora,Dul,Evet,Temiz,Ret
336,47,12643,27145,12,1808,0.14,İşsiz,Lisans,Dul,Hayır,Yeni,Onay
337,58,2810,8293,18,594,0.21,Emekli,Yüksek,Dul,Evet,Yeni,Ret
338,36,13744,59532,48,22571,1.64,Emekli,Lise,Evli,Evet,Gecikmeli,Onay
339,59,16885,32523,12,24692,1.46,Emekli,Doktora,Dul,Evet,Gecikmeli,Ret
340,49,13615,18729,18,7642,0.56,İşsiz,Lisans,Evli,Evet,Yeni,Onay
341,22,10679,28791,48,5544,0.52,Çalışıyor,Yüksek,Dul,Evet,Yeni,Ret
342,50,19742,64039,36,31263,1.58,Emekli,Lise,Dul,Evet,Yeni,Ret
343,42,10045,40404,36,17415,1.73,Emekli,Lise,Bekar,Evet,Temiz,Onay
344,40,9789,50445,48,5182,0.53,Öğrenci,Lise,Bekar,Hayır,Temiz,Onay
345,39,16539,54509,36,7714,0.47,İşsiz,Doktora,Dul,Hayır,Gecikmeli,Ret
346,32,12557,66774,60,2262,0.18,Öğrenci,Lise,Evli,Evet,Gecikmeli,Ret
347,46,15384,6912,18,19215,1.25,İşsiz,Doktora,Dul,Hayır,Temiz,Onay
348,38,18773,10048,12,27434,1.46,Çalışıyor,Lisans,Bekar,Evet,Gecikmeli,Ret
349,59,6071,35450,48,4961,0.82,Öğrenci,Doktora,Bekar,Evet,Temiz,Onay
350,57,5293,27542,12,5606,1.06,Öğrenci,Yüksek,Dul,Hayır,Gecikmeli,Ret
351,18,12646,38290,36,2805,0.22,Çalışıyor,Lise,Bekar,Evet,Temiz,Onay
352,32,2171,61124,48,204,0.09,Öğrenci,Lise,Evli,Evet,Temiz,Ret
353,56,11239,19489,72,2705,0.24,Çalışıyor,Yüksek,Dul,Hayır,Yeni,Ret
354,47,6990,28978,12,371,0.05,Emekli,Doktora,Dul,Evet,Yeni,Onay
355,38,8111,40505,60,8753,1.08,Öğrenci,Lise,Bekar,Evet,Yeni,Ret
356,63,19506,29092,24,37132,1.9,Çalışıyor,Lise,Evli,Evet,Temiz,Onay
357,30,2341,55160,18,3860,1.65,Çalışıyor,Lise,Bekar,Evet,Yeni,Ret
358,38,17260,57081,36,11591,0.67,Çalışıyor,Doktora,Evli,Hayır,Temiz,Onay
359,22,6124,56944,60,7452,1.22,Çalışıyor,Lisans,Bekar,Hayır,Yeni,Ret
360,46,11153,55709,48,17843,1.6,Emekli,Yüksek,Bekar,Hayır,Temiz,Onay
361,34,7211,27708,12,13470,1.87,Öğrenci,Lisans,Evli,Hayır,Temiz,Ret
362,32,17582,19561,36,32749,1.86,Öğrenci,Lise,Dul,Evet,Yeni,Ret
363,20,15402,21881,72,27500,1.79,Çalışıyor,Lise,Bekar,Evet,Gecikmeli,Ret
364,45,5651,27929,60,5873,1.04,Emekli,Lisans,Bekar,Evet,Gecikmeli,Ret
365,34,6169,58073,72,5076,0.82,Emekli,Yüksek,Bekar,Evet,Gecikmeli,Ret
366,40,13317,39058,12,5505,0.41,Emekli,Lise,Dul,Evet,Temiz,Onay
367,51,10288,16089,72,10626,1.03,Öğrenci,Lisans,Evli,Hayır,Yeni,Ret
368,57,3989,51870,60,5348,1.34,Öğrenci,Doktora,Bekar,Hayır,Gecikmeli,Ret
369,37,10662,58913,36,15981,1.5,Emekli,Lise,Bekar,Hayır,Temiz,Onay
370,34,13957,45366,18,1849,0.13,Emekli,Doktora,Evli,Evet,Gecikmeli,Ret
371,47,14031,49514,12,11496,0.82,Emekli,Yüksek,Dul,Evet,Gecikmeli,Ret
372,44,4597,21114,24,7829,1.7,Çalışıyor,Lise,Evli,Hayır,Gecikmeli,Ret
373,42,3263,22761,36,3781,1.16,İşsiz,Lise,Bekar,Evet,Yeni,Ret
374,50,14672,67325,24,11603,0.79,Çalışıyor,Yüksek,Bekar,Evet,Yeni,Ret
375,32,10704,13651,36,3764,0.35,Çalışıyor,Yüksek,Dul,Hayır,Gecikmeli,Ret
376,60,7153,40038,18,6850,0.96,Öğrenci,Lisans,Bekar,Hayır,Gecikmeli,Ret
377,47,5977,59333,24,1883,0.32,Çalışıyor,Lise,Bekar,Evet,Yeni,Onay
378,65,5875,48221,60,1472,0.25,İşsiz,Doktora,Bekar,Hayır,Temiz,Onay
379,40,9602,57081,12,10667,1.11,Emekli,Yüksek,Dul,Evet,Gecikmeli,Ret
380,25,3741,45419,18,1164,0.31,İşsiz,Lise,Bekar,Hayır,Temiz,Onay
381,54,3588,55990,48,2762,0.77,Öğrenci,Lise,Evli,Hayır,Temiz,Ret
382,47,18383,37256,24,1522,0.08,Emekli,Lise,Evli,Hayır,Temiz,Onay
383,61,16120,27544,48,13529,0.84,Çalışıyor,Lise,Evli,Hayır,Yeni,Onay
384,30,13217,22952,60,7756,0.59,Öğrenci,Lisans,Dul,Hayır,Temiz,Onay
385,53,9197,10280,60,5733,0.62,İşsiz,Lisans,Bekar,Evet,Yeni,Ret
386,18,16357,24115,12,28820,1.76,İşsiz,Yüksek,Bekar,Evet,Temiz,Onay
387,27,18608,65407,24,333,0.02,Çalışıyor,Lise,Evli,Evet,Gecikmeli,Ret
388,44,6063,45997,12,4229,0.7,Çalışıyor,Yüksek,Dul,Hayır,Temiz,Onay
389,50,11630,66631,36,992,0.09,Emekli,Lise,Dul,Hayır,Temiz,Onay
390,55,14760,63498,48,6429,0.44,Emekli,Doktora,Evli,Evet,Yeni,Onay
391,43,12445,38389,72,2154,0.17,Öğrenci,Doktora,Evli,Evet,Yeni,Onay
392,31,18640,36318,36,11706,0.63,Çalışıyor,Yüksek,Evli,Hayır,Yeni,Ret
393,46,19271,13432,72,29778,1.55,İşsiz,Doktora,Bekar,Evet,Gecikmeli,Ret
394,18,18006,9554,36,22647,1.26,Öğrenci,Doktora,Evli,Hayır,Temiz,Onay
395,34,12546,61905,48,20551,1.64,İşsiz,Lisans,Dul,Evet,Gecikmeli,Ret
396,52,5749,55290,36,9407,1.64,İşsiz,Doktora,Bekar,Evet,Gecikmeli,Ret
397,19,4695,8641,12,6527,1.39,İşsiz,Yüksek,Evli,Evet,Temiz,Ret
398,20,14518,18164,18,22643,1.56,İşsiz,Doktora,Evli,Hayır,Temiz,Onay
399,42,16551,45321,72,25009,1.51,Çalışıyor,Doktora,Evli,Evet,Yeni,Ret
400,31,9309,30967,60,4239,0.46,Çalışıyor,Lisans,Dul,Hayır,Temiz,Onay
401,57,6597,66107,18,4204,0.64,Öğrenci,Lise,Bekar,Hayır,Temiz,Onay
402,37,3371,64809,24,1735,0.51,İşsiz,Doktora,Evli,Hayır,Yeni,Ret
403,57,5001,18950,60,6412,1.28,İşsiz,Lise,Dul,Hayır,Temiz,Ret
404,61,17700,64730,36,18562,1.05,Öğrenci,Yüksek,Dul,Hayır,Temiz,Onay
405,45,17103,69121,72,10709,0.63,İşsiz,Lise,Bekar,Evet,Temiz,Onay
406,52,12731,24505,48,6219,0.49,Öğrenci,Lise,Evli,Hayır,Temiz,Onay
407,22,13047,12130,24,21210,1.63,Öğrenci,Doktora,Bekar,Evet,Temiz,Onay
408,21,11193,6015,24,21586,1.93,İşsiz,Lisans,Bekar,Hayır,Temiz,Onay
409,47,12675,23855,60,10892,0.86,İşsiz,Lise,Evli,Hayır,Temiz,Onay
410,62,2535,30658,36,641,0.25,Emekli,Yüksek,Evli,Evet,Yeni,Ret
411,61,11997,13686,72,15860,1.32,Emekli,Lisans,Evli,Evet,Yeni,Onay
412,60,2518,68411,36,2579,1.02,Çalışıyor,Doktora,Bekar,Hayır,Gecikmeli,Ret
413,19,17441,21541,60,25840,1.48,Öğrenci,Doktora,Evli,Evet,Yeni,Ret
414,60,5184,32356,12,8075,1.56,Emekli,Yüksek,Evli,Hayır,Gecikmeli,Ret
415,62,12784,45356,48,9755,0.76,İşsiz,Lise,Bekar,Evet,Gecikmeli,Onay
416,21,3745,26043,18,195,0.05,İşsiz,Lise,Evli,Evet,Temiz,Ret
417,55,13117,27169,24,12534,0.96,İşsiz,Yüksek,Dul,Evet,Gecikmeli,Ret
418,22,12186,62995,18,5056,0.41,Emekli,Doktora,Evli,Hayır,Gecikmeli,Ret
419,46,15375,35573,18,18677,1.21,İşsiz,Lisans,Dul,Hayır,Temiz,Onay
420,31,17686,59257,18,10511,0.59,Çalışıyor,Lise,Bekar,Hayır,Gecikmeli,Ret
421,35,4973,69849,60,2595,0.52,Emekli,Doktora,Dul,Hayır,Gecikmeli,Ret
422,23,11627,34205,60,4548,0.39,İşsiz,Doktora,Bekar,Hayır,Yeni,Onay
423,63,18365,17933,48,25198,1.37,Öğrenci,Yüksek,Dul,Evet,Gecikmeli,Ret
424,59,4706,30591,36,2058,0.44,Öğrenci,Doktora,Evli,Hayır,Temiz,Ret
425,18,10901,8982,60,18336,1.68,Emekli,Lisans,Evli,Evet,Yeni,Ret
426,63,11398,62602,72,14416,1.26,Çalışıyor,Lisans,Dul,Evet,Temiz,Onay
427,50,13063,16855,36,11311,0.87,Emekli,Lise,Evli,Hayır,Gecikmeli,Ret
428,51,13416,9310,24,13980,1.04,Emekli,Lise,Dul,Hayır,Temiz,Onay
429,44,18522,31455,72,12048,0.65,İşsiz,Doktora,Evli,Hayır,Temiz,Ret
430,41,9635,30195,60,11735,1.22,Çalışıyor,Lise,Evli,Hayır,Temiz,Onay
431,58,12045,28327,24,14696,1.22,İşsiz,Yüksek,Evli,Hayır,Gecikmeli,Ret
432,45,11450,38221,12,20738,1.81,Emekli,Doktora,Evli,Evet,Yeni,Ret
433,37,14495,39411,36,23477,1.62,Çalışıyor,Doktora,Evli,Hayır,Temiz,Onay
434,52,10225,31873,72,4875,0.48,Öğrenci,Yüksek,Dul,Evet,Temiz,Onay
435,56,12792,58979,12,6970,0.54,Öğrenci,Doktora,Bekar,Hayır,Temiz,Onay
436,35,7866,34260,18,9642,1.23,Çalışıyor,Doktora,Bekar,Evet,Gecikmeli,Ret
437,42,19408,24642,48,13906,0.72,Emekli,Lise,Dul,Hayır,Temiz,Onay
438,61,3144,30967,72,1384,0.44,Öğrenci,Yüksek,Evli,Hayır,Temiz,Ret
439,64,2305,17994,18,4509,1.96,İşsiz,Doktora,Evli,Evet,Temiz,Ret
440,24,3166,20642,24,5613,1.77,Emekli,Lise,Bekar,Evet,Gecikmeli,Ret
441,46,10147,7894,48,16235,1.6,Öğrenci,Doktora,Bekar,Evet,Temiz,Onay
442,36,7677,64992,12,107,0.01,Emekli,Lise,Evli,Hayır,Temiz,Onay
443,28,5711,62024,24,3308,0.58,Çalışıyor,Yüksek,Evli,Hayır,Gecikmeli,Ret
444,56,18305,48448,12,11317,0.62,Emekli,Doktora,Evli,Hayır,Yeni,Ret
445,28,10448,34315,18,5155,0.49,Çalışıyor,Doktora,Evli,Hayır,Temiz,Onay
446,43,5101,66309,36,5599,1.1,Çalışıyor,Lise,Evli,Hayır,Gecikmeli,Onay
447,52,11112,23944,60,6448,0.58,İşsiz,Doktora,Evli,Hayır,Yeni,Ret
448,32,7159,36807,60,9455,1.32,Öğrenci,Lise,Bekar,Evet,Yeni,Ret
449,32,14163,61137,24,2785,0.2,İşsiz,Doktora,Evli,Evet,Yeni,Onay
450,54,3963,25560,24,7254,1.83,Öğrenci,Yüksek,Dul,Evet,Gecikmeli,Onay
451,38,7653,26357,48,9820,1.28,Emekli,Lise,Evli,Evet,Yeni,Ret
452,19,11822,31201,12,13814,1.17,Emekli,Doktora,Evli,Evet,Yeni,Ret
453,25,14892,36424,18,28536,1.92,İşsiz,Lisans,Evli,Evet,Gecikmeli,Ret
454,37,19752,53594,36,7804,0.4,Emekli,Lise,Dul,Evet,Temiz,Onay
455,25,12331,64401,48,5222,0.42,İşsiz,Doktora,Bekar,Hayır,Yeni,Onay
456,46,6246,19289,12,5082,0.81,Emekli,Yüksek,Dul,Evet,Gecikmeli,Ret
457,40,3213,7647,48,5135,1.6,Öğrenci,Lisans,Dul,Evet,Yeni,Ret
458,48,5960,57540,60,2556,0.43,İşsiz,Lisans,Dul,Evet,Gecikmeli,Ret
459,46,5880,61158,12,8087,1.38,Öğrenci,Lisans,Evli,Hayır,Yeni,Ret
460,29,8262,16072,36,2811,0.34,İşsiz,Doktora,Evli,Evet,Temiz,Onay
461,46,16295,33039,24,21089,1.29,Çalışıyor,Doktora,Dul,Evet,Temiz,Onay
462,26,8206,69031,48,11401,1.39,İşsiz,Lise,Bekar,Evet,Yeni,Ret
463,59,3266,24317,48,2688,0.82,Emekli,Lisans,Dul,Evet,Temiz,Ret
464,30,2607,67726,36,3754,1.44,İşsiz,Lise,Dul,Evet,Yeni,Ret
465,20,19000,19175,18,27509,1.45,Öğrenci,Lise,Bekar,Evet,Yeni,Ret
466,65,10460,67470,12,5856,0.56,Emekli,Yüksek,Bekar,Evet,Gecikmeli,Ret
467,28,11109,28926,12,7899,0.71,İşsiz,Doktora,Evli,Evet,Gecikmeli,Ret
468,30,17132,31324,72,31523,1.84,Emekli,Yüksek,Evli,Evet,Temiz,Onay
469,45,18994,30115,36,35653,1.88,Öğrenci,Yüksek,Evli,Evet,Temiz,Onay
470,51,2698,37799,36,817,0.3,Öğrenci,Doktora,Evli,Hayır,Yeni,Ret
471,33,3582,12251,36,5726,1.6,Öğrenci,Lise,Evli,Evet,Yeni,Ret
472,36,4476,11121,24,804,0.18,Çalışıyor,Yüksek,Evli,Hayır,Yeni,Onay
473,27,19446,48499,24,20416,1.05,İşsiz,Lisans,Bekar,Evet,Gecikmeli,Ret
474,62,5266,23109,72,6865,1.3,İşsiz,Doktora,Dul,Evet,Temiz,Ret
475,62,16003,61448,24,9559,0.6,İşsiz,Yüksek,Dul,Evet,Yeni,Onay
476,57,13936,43993,24,3540,0.25,Emekli,Yüksek,Dul,Hayır,Yeni,Onay
477,56,6860,19453,12,2114,0.31,Emekli,Lise,Evli,Evet,Temiz,Onay
478,37,8849,40225,72,7791,0.88,Çalışıyor,Yüksek,Bekar,Hayır,Temiz,Onay
479,45,3471,61555,72,1198,0.35,Emekli,Lise,Evli,Hayır,Gecikmeli,Ret
480,34,3945,23699,48,1890,0.48,Çalışıyor,Yüksek,Dul,Evet,Yeni,Ret
481,45,15165,69399,36,29365,1.94,İşsiz,Lise,Evli,Evet,Temiz,Onay
482,24,18529,63199,12,14077,0.76,İşsiz,Lise,Evli,Evet,Temiz,Onay
483,20,4150,5094,18,1614,0.39,İşsiz,Lise,Evli,Evet,Gecikmeli,Ret
484,25,17467,6510,24,31589,1.81,İşsiz,Doktora,Bekar,Evet,Gecikmeli,Ret
485,50,5497,47009,18,4645,0.85,Öğrenci,Doktora,Bekar,Hayır,Yeni,Ret
486,34,12167,35399,48,20106,1.65,Çalışıyor,Lisans,Dul,Evet,Yeni,Ret
487,32,11727,68661,24,4213,0.36,Çalışıyor,Yüksek,Dul,Evet,Temiz,Onay
488,32,5278,25011,12,6091,1.15,Çalışıyor,Yüksek,Bekar,Evet,Gecikmeli,Ret
489,39,18652,56680,36,15843,0.85,Çalışıyor,Doktora,Bekar,Evet,Temiz,Onay
490,65,3687,43919,12,4618,1.25,Çalışıyor,Yüksek,Evli,Evet,Yeni,Ret
491,49,17168,38159,36,1463,0.09,İşsiz,Lise,Bekar,Hayır,Gecikmeli,Ret
492,44,12147,10166,72,20354,1.68,Öğrenci,Lise,Dul,Evet,Gecikmeli,Ret
493,49,14220,34792,24,21409,1.51,Öğrenci,Lise,Bekar,Hayır,Temiz,Onay
494,46,17405,40524,24,32418,1.86,İşsiz,Doktora,Evli,Evet,Gecikmeli,Ret
495,60,9794,14651,72,5097,0.52,Çalışıyor,Yüksek,Dul,Hayır,Yeni,Onay
496,23,17648,35766,18,33477,1.9,İşsiz,Lisans,Evli,Hayır,Gecikmeli,Ret
497,32,5887,44549,18,10722,1.82,İşsiz,Doktora,Evli,Hayır,Yeni,Ret
498,63,7968,52689,18,4430,0.56,Çalışıyor,Lise,Evli,Evet,Gecikmeli,Ret
499,58,3390,16046,36,6065,1.79,Çalışıyor,Doktora,Bekar,Evet,Gecikmeli,Ret
500,44,13675,11180,48,25471,1.86,Çalışıyor,Lisans,Dul,Evet,Temiz,Onay
501,34,18604,69755,48,21261,1.14,İşsiz,Lisans,Dul,Evet,Yeni,Ret
502,61,2518,13653,12,1051,0.42,Emekli,Doktora,Bekar,Evet,Gecikmeli,Ret
503,22,5844,36312,72,5476,0.94,Emekli,Lisans,Bekar,Evet,Yeni,Onay
504,28,4697,22925,12,8217,1.75,Çalışıyor,Lise,Bekar,Evet,Temiz,Ret
505,29,17801,38267,48,8551,0.48,İşsiz,Yüksek,Dul,Hayır,Yeni,Ret
506,62,3714,16196,48,6404,1.72,Çalışıyor,Lise,Bekar,Evet,Yeni,Ret
507,55,4941,28208,48,8989,1.82,İşsiz,Lisans,Dul,Evet,Gecikmeli,Ret
508,31,16544,47199,36,25695,1.55,Öğrenci,Yüksek,Bekar,Evet,Temiz,Onay
509,28,19757,48100,48,3266,0.17,Öğrenci,Yüksek,Bekar,Hayır,Gecikmeli,Ret
510,36,5084,50016,36,7836,1.54,Öğrenci,Lisans,Dul,Evet,Temiz,Ret
511,39,3331,36022,18,1750,0.53,Emekli,Doktora,Bekar,Evet,Gecikmeli,Ret
512,50,16514,49384,12,31672,1.92,Çalışıyor,Doktora,Dul,Hayır,Yeni,Ret
513,19,12523,42333,48,18744,1.5,İşsiz,Yüksek,Evli,Evet,Yeni,Ret
514,60,4754,38492,18,5766,1.21,Öğrenci,Lisans,Dul,Evet,Gecikmeli,Ret
515,23,2893,52471,36,2982,1.03,Emekli,Lise,Dul,Hayır,Temiz,Ret
516,35,2240,7782,18,4063,1.81,Çalışıyor,Lisans,Dul,Evet,Yeni,Ret
517,18,18476,19709,24,1313,0.07,İşsiz,Yüksek,Bekar,Evet,Gecikmeli,Ret
518,51,17377,5846,60,11977,0.69,Emekli,Doktora,Evli,Hayır,Yeni,Onay
519,44,13065,42420,18,2833,0.22,İşsiz,Yüksek,Evli,Evet,Temiz,Onay
520,48,18836,62872,60,31008,1.65,Öğrenci,Lisans,Dul,Evet,Temiz,Onay
521,54,10884,64130,18,2673,0.25,Öğrenci,Yüksek,Evli,Hayır,Gecikmeli,Ret
522,48,14632,43624,60,7584,0.52,İşsiz,Lisans,Bekar,Evet,Yeni,Onay
523,60,15974,62191,72,28718,1.8,Emekli,Yüksek,Dul,Evet,Yeni,Ret
524,48,15017,35103,60,7905,0.53,Öğrenci,Doktora,Evli,Evet,Gecikmeli,Ret
525,24,18875,36642,72,36499,1.93,Çalışıyor,Doktora,Evli,Evet,Temiz,Onay
526,55,13648,45831,24,17926,1.31,Çalışıyor,Lise,Evli,Hayır,Yeni,Ret
527,35,12919,12661,36,14712,1.14,Öğrenci,Yüksek,Dul,Evet,Yeni,Ret
528,43,4140,28979,72,3181,0.77,Çalışıyor,Yüksek,Evli,Evet,Temiz,Onay
529,47,3742,30575,60,4208,1.12,Öğrenci,Yüksek,Bekar,Evet,Temiz,Ret
530,64,9417,58165,18,10145,1.08,Çalışıyor,Lisans,Evli,Evet,Yeni,Ret
531,33,10167,7422,18,4055,0.4,Öğrenci,Lise,Evli,Hayır,Yeni,Ret
532,27,15873,16107,72,9605,0.61,Öğrenci,Lise,Dul,Evet,Yeni,Ret
533,65,3311,58028,18,980,0.3,Emekli,Doktora,Evli,Evet,Temiz,Ret
534,49,10519,6066,60,20687,1.97,Emekli,Doktora,Evli,Hayır,Gecikmeli,Ret
535,51,14624,7030,24,15285,1.05,İşsiz,Lisans,Bekar,Evet,Temiz,Onay
536,56,17817,54674,60,10997,0.62,Çalışıyor,Yüksek,Dul,Hayır,Temiz,Onay
537,33,4524,39436,18,4340,0.96,Çalışıyor,Lise,Bekar,Evet,Temiz,Ret
538,44,2860,44474,48,3728,1.3,Çalışıyor,Lisans,Bekar,Evet,Gecikmeli,Ret
539,29,15411,31996,72,25193,1.63,Öğrenci,Lisans,Dul,Hayır,Temiz,Onay
540,41,10110,33991,18,13451,1.33,Emekli,Lise,Evli,Evet,Gecikmeli,Ret
541,27,17776,31747,60,22883,1.29,İşsiz,Lise,Bekar,Evet,Yeni,Ret
542,59,10376,27130,60,18392,1.77,Çalışıyor,Lisans,Dul,Hayır,Yeni,Ret
543,60,13216,24092,18,21843,1.65,İşsiz,Lise,Evli,Evet,Temiz,Onay
544,54,15573,26043,72,16393,1.05,Çalışıyor,Lisans,Dul,Hayır,Temiz,Onay
545,37,15805,17256,48,11645,0.74,Öğrenci,Lise,Dul,Evet,Temiz,Onay
546,44,11704,30766,60,1652,0.14,İşsiz,Lisans,Dul,Hayır,Yeni,Onay
547,31,7624,46051,18,15139,1.99,Öğrenci,Doktora,Evli,Hayır,Gecikmeli,Onay
548,27,11968,11786,24,23862,1.99,İşsiz,Doktora,Dul,Hayır,Temiz,Onay
549,39,15684,68078,18,16448,1.05,Emekli,Lisans,Evli,Hayır,Temiz,Onay
550,43,11656,54041,36,21571,1.85,Çalışıyor,Doktora,Evli,Hayır,Temiz,Onay
551,44,15025,43716,72,141,0.01,İşsiz,Doktora,Evli,Hayır,Yeni,Onay
552,60,19798,45111,24,28544,1.44,Çalışıyor,Yüksek,Evli,Hayır,Gecikmeli,Onay
553,42,19455,40103,72,20836,1.07,Çalışıyor,Yüksek,Bekar,Evet,Yeni,Ret
554,22,13243,55755,24,26295,1.99,Öğrenci,Yüksek,Bekar,Hayır,Yeni,Ret
555,55,16662,21181,72,4239,0.25,Öğrenci,Yüksek,Dul,Evet,Gecikmeli,Ret
556,47,16740,58980,24,2742,0.16,İşsiz,Lise,Bekar,Evet,Temiz,Onay
557,59,2721,6931,60,4973,1.83,Çalışıyor,Lise,Dul,Evet,Temiz,Ret
558,60,10271,52914,48,7287,0.71,İşsiz,Doktora,Dul,Evet,Yeni,Onay
559,61,7372,40587,48,9548,1.3,İşsiz,Lise,Dul,Hayır,Temiz,Ret
560,56,4368,31500,60,2007,0.46,Çalışıyor,Doktora,Dul,Evet,Temiz,Onay
561,36,13581,69518,60,9301,0.68,Öğrenci,Yüksek,Bekar,Evet,Yeni,Ret
562,24,7710,61929,36,13299,1.72,Öğrenci,Lisans,Evli,Hayır,Gecikmeli,Ret
563,62,18361,55012,24,26448,1.44,İşsiz,Lise,Bekar,Evet,Temiz,Onay
